,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
744,0,1,2,2,3,2,1
745,1,2,2,2,3,4,1
746,0,1,2,1,1,4,1
747,1,1,2,2,2,2,1
748,0,0,1,1,0,2,1
749,1,2,3,4,3,4,1
750,1,0,1,1,2,2,1
751,1,2,2,1,3,2,1
752,0,1,1,1,1,3,1
753,0,1,3,3,4,4,1
754,1,1,1,2,2,3,1
755,1,1,2,2,3,5,1
756,1,2,2,2,4,5,1
757,1,1,3,3,3,3,1
758,0,1,0,2,1,1,1
759,0,1,1,1,3,2,1
760,0,2,2,2,1,3,1
761,0,1,2,1,0,2,1
762,0,1,1,2,1,1,1
763,1,2,1,3,4,4,1
764,1,2,3,3,5,6,1
765,1,2,3,4,4,6,1
766,1,2,3,4,5,6,1
767,1,2,1,2,2,3,1
768,1,1,2,2,3,5,1
769,0,0,1,1,2,3,1
770,0,1,1,1,1,2,1
771,1,2,2,2,3,4,1
772,1,2,2,3,2,5,1
773,1,2,2,3,3,4,1
774,1,1,2,3,3,2,1
775,1,2,3,4,5,5,1
776,1,1,1,2,3,5,1
777,0,0,1,2,3,3,1
778,0,1,0,2,1,1,1
779,0,1,2,3,4,4,1
780,1,1,2,3,4,5,1
781,1,1,3,2,2,3,1
782,0,0,0,0,1,1,1
783,1,1,2,2,4,3,1
784,1,0,1,2,3,1,1
785,1,1,3,3,4,4,1
786,0,1,2,2,3,5,1
787,0,0,0,0,0,0,1
788,1,2,1,1,2,3,1
789,0,1,3,3,4,3,1
790,1,1,1,3,4,3,1
791,0,0,0,0,2,2,1
792,1,1,3,3,4,3,1
793,0,1,2,3,3,4,1
794,0,0,0,0,1,1,1
795,1,2,2,2,4,5,1
796,1,0,1,3,2,2,1
797,0,0,0,1,1,2,1
798,1,1,2,3,3,5,1
799,0,1,1,1,1,0,1
800,1,1,1,2,2,2,1
801,0,0,1,1,4,3,1
802,1,1,1,3,1,1,1
803,0,0,0,1,2,3,1
804,0,0,0,1,0,2,1
805,1,2,2,3,4,5,1
806,0,0,0,0,0,0,1
807,1,2,2,3,3,4,1
808,1,1,2,2,1,1,1
809,0,0,0,1,2,3,1
810,1,1,2,3,2,3,1
811,1,1,1,2,3,4,1
812,1,2,2,2,2,4,1
813,0,0,2,1,2,1,1
814,0,0,1,2,2,3,1
815,1,2,3,4,2,5,1
816,1,2,3,3,5,5,1
817,1,0,1,1,0,1,1
818,0,1,2,3,4,5,1
819,0,0,2,2,3,4,1
820,1,2,2,4,4,5,1
821,0,0,1,1,1,2,1
822,0,1,1,2,1,2,1
823,1,1,1,3,3,3,1
824,1,2,3,3,4,4,1
825,0,1,2,0,3,2,1
826,1,1,2,2,3,3,1
827,1,2,2,3,4,5,1
828,1,1,1,2,4,3,1
829,0,1,0,1,2,0,1
830,1,1,1,2,3,4,1
831,1,1,2,2,3,4,1
832,0,1,1,3,2,3,1
833,0,0,2,1,2,3,1
834,1,0,1,0,0,1,1
835,1,1,2,3,3,3,1
836,0,1,2,2,1,3,1
837,1,2,2,4,4,5,1
838,1,2,3,4,5,6,1
839,1,2,2,3,5,3,1
840,1,1,2,2,4,3,1
841,1,2,3,3,4,5,1
842,0,1,3,2,2,4,1
843,1,2,3,4,5,5,1
844,0,0,0,0,0,0,1
845,1,1,2,2,3,4,1
846,0,0,0,0,2,0,1
847,0,0,0,0,1,2,1
848,0,1,2,2,1,3,1
849,0,0,1,1,1,1,1
850,0,1,1,1,1,2,1
851,1,1,2,3,3,5,1
852,0,1,1,2,2,1,1
853,1,2,3,4,2,4,1
854,1,2,2,3,4,4,1
855,1,2,2,1,5,3,1
856,1,2,3,4,5,5,1
